0,1,2,3
 ,O,O,<UNK>
What,WP,B-NP,O
happened,VBD,B-VP,O
concerning,VBG,I-VP,O
continuous,JJ,B-NP,O
violations,NNS,I-NP,O
and,CC,O,O
crimes,NNS,B-NP,O
from,IN,B-PP,O
this,DT,B-NP,O
new,JJ,I-NP,O
Israeli,JJ,I-NP,B-MISC
leadership,NN,I-NP,O
means,VBZ,B-VP,O
they,PRP,B-NP,O
are,VBP,B-VP,O
declaring,VBG,I-VP,O
a,DT,B-NP,O
state,NN,I-NP,O
of,IN,B-PP,O
war,NN,B-NP,O
against,IN,B-PP,O
the,DT,B-NP,O
Palestinian,JJ,I-NP,B-MISC
people,NNS,I-NP,O
",",",",O,O
 ,O,O,<UNK>
Arafat,NNP,B-NP,B-PER
told,VBD,B-VP,O
the,DT,B-NP,O
Palestinian,JJ,I-NP,B-MISC
legislature,NN,I-NP,O
.,.,O,O
